NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE		110	0.2311872	1.0728241	0.33027524	0.47784933	1.0	791	tags=22%, list=18%, signal=26%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		71	0.24566098	1.0654887	0.35218093	0.4765693	1.0	1322	tags=41%, list=29%, signal=57%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		34	0.2938123	1.061194	0.37128714	0.46868372	1.0	562	tags=24%, list=12%, signal=27%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		100	0.21947688	1.0001762	0.44674087	0.5826207	1.0	1420	tags=39%, list=31%, signal=56%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING		97	0.21360853	0.9809469	0.50461537	0.60531336	1.0	676	tags=19%, list=15%, signal=21%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		50	0.24626617	0.97351253	0.5169628	0.60059	1.0	1155	tags=34%, list=26%, signal=45%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN		58	0.22104861	0.90541714	0.616	0.725754	1.0	846	tags=29%, list=19%, signal=36%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		79	0.19487418	0.86190796	0.7228178	0.7941418	1.0	410	tags=11%, list=9%, signal=12%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		23	0.25236455	0.8436605	0.68393785	0.8083566	1.0	608	tags=22%, list=13%, signal=25%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING		71	0.19155462	0.8201561	0.7923588	0.8279152	1.0	441	tags=15%, list=10%, signal=17%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		88	0.17934118	0.8127572	0.8192182	0.8171489	1.0	1055	tags=24%, list=23%, signal=31%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		127	0.11956175	0.5641517	1.0	0.9910319	1.0	1032	tags=20%, list=23%, signal=25%	
