NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		44	0.28611377	1.1137176	0.27627495	0.44317135	0.9985	290	tags=14%, list=6%, signal=14%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING		60	0.26572695	1.112998	0.26445907	0.42465654	0.9988	1403	tags=38%, list=31%, signal=55%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS		73	0.25387874	1.1000602	0.276484	0.432842	0.9991	1455	tags=38%, list=32%, signal=55%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION		43	0.27766937	1.0751382	0.3319601	0.46823418	0.9996	1125	tags=40%, list=25%, signal=52%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		65	0.24062295	1.0178105	0.42100435	0.58535415	1.0	954	tags=26%, list=21%, signal=33%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		16	0.33996853	1.0141649	0.43498322	0.5717568	1.0	352	tags=25%, list=8%, signal=27%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP		97	0.21747074	0.9959931	0.4591741	0.59416974	1.0	774	tags=23%, list=17%, signal=27%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM		68	0.22666427	0.9697374	0.5094944	0.6375086	1.0	1080	tags=28%, list=24%, signal=36%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		103	0.19960846	0.9200873	0.6337372	0.73664415	1.0	943	tags=26%, list=21%, signal=32%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		24	0.25671753	0.8617183	0.67369306	0.8505023	1.0	1551	tags=50%, list=34%, signal=75%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		23	0.25134158	0.8305819	0.7202708	0.8867106	1.0	806	tags=30%, list=18%, signal=37%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		40	0.2105182	0.7938317	0.80500543	0.92353034	1.0	857	tags=30%, list=19%, signal=37%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		82	0.15614884	0.6943607	0.97191924	1.0	1.0	1290	tags=29%, list=28%, signal=40%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		31	0.1737435	0.62376213	0.96523833	1.0	1.0	225	tags=10%, list=5%, signal=10%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE		49	0.13052472	0.51864374	0.99845475	0.9970397	1.0	1316	tags=29%, list=29%, signal=40%	
